fecha,trimestre,pib_indice,inflacion_anual,tasa_objetivo,tipo_cambio,desempleo,consumo_indice,inversion_indice
2022-04-01,2022Q2,143.6,7.98,6.68,15.262,4.04,128.11,158.07
2022-07-01,2022Q3,145.13,8.17,6.83,15.481,3.86,128.3,159.73
2022-10-01,2022Q4,145.78,7.18,6.25,15.37,3.49,128.48,156.75
2023-01-01,2023Q1,146.5,5.97,5.82,15.66,4.01,128.27,162.0
2023-04-01,2023Q2,147.01,7.22,6.33,15.922,4.13,131.61,160.59
2023-07-01,2023Q3,147.92,6.49,6.39,15.853,3.98,130.37,162.23
2023-10-01,2023Q4,148.97,6.54,6.47,16.478,4.03,130.6,170.38
2024-01-01,2024Q1,150.38,7.08,5.88,15.989,4.05,133.32,171.05
2024-04-01,2024Q2,151.84,6.6,6.28,15.796,3.62,134.05,172.17
2024-07-01,2024Q3,153.15,6.22,5.44,15.572,3.35,133.12,171.42
2024-10-01,2024Q4,154.44,5.59,5.38,14.972,3.32,135.08,174.99
2025-01-01,2025Q1,154.65,6.04,5.74,14.915,3.21,135.47,174.14
2025-04-01,2025Q2,154.72,6.38,5.99,15.298,3.62,136.23,177.94
2025-07-01,2025Q3,154.69,5.16,5.24,15.324,4.28,136.78,174.47
2025-10-01,2025Q4,154.5,4.95,4.83,15.735,3.94,135.19,174.66
