id_hogar,ingreso_mensual,edad_jefe,escolaridad_anios,tamano_hogar,urbano,tiene_credito_hipotecario,gasto_vivienda,entidad
309,32112.0,52.0,7.0,1,1,1,10049.0,Oaxaca
310,22549.0,50.0,14.0,3,1,1,2880.0,Aguascalientes
311,4459.0,25.0,9.0,9,1,0,893.0,Puebla
312,16135.0,41.0,13.0,2,1,0,5286.0,Oaxaca
313,12815.0,43.0,9.0,2,1,1,1708.0,Chilpancingo
314,6481.0,30.0,6.0,3,0,0,483.0,Pachuca
315,9468.0,34.0,13.0,5,1,0,3468.0,Guadalajara
316,12681.0,24.0,14.0,3,1,0,2221.0,Mérida
317,14727.0,37.0,11.0,6,1,0,4346.0,Toluca
318,16167.0,33.0,10.0,6,1,1,3497.0,Oaxaca
319,5043.0,29.0,15.0,5,1,1,1241.0,Ciudad de México
320,7888.0,43.0,12.0,4,1,1,316.0,Guadalajara
321,1273.0,36.0,3.0,3,0,0,213.0,Toluca
322,21240.0,46.0,16.0,2,1,0,7807.0,San Luis Potosí
323,4584.0,52.0,12.0,2,1,0,718.0,Tijuana
324,26067.0,24.0,9.0,3,1,1,6930.0,San Luis Potosí
325,18723.0,20.0,8.0,4,0,1,4198.0,Mérida
326,23889.0,32.0,10.0,6,1,1,7094.0,Chilpancingo
327,10387.0,34.0,11.0,5,1,1,2870.0,Toluca
328,8381.0,38.0,18.0,5,1,0,1278.0,Campeche
329,19192.0,33.0,7.0,2,0,0,3999.0,Chilpancingo
330,15294.0,44.0,10.0,4,1,0,4736.0,Reynosa
331,7936.0,36.0,16.0,7,0,0,2143.0,Monterrey
332,22211.0,49.0,16.0,3,0,0,6660.0,Veracruz
333,32181.0,33.0,10.0,2,1,1,7884.0,Aguascalientes
334,43915.0,53.0,14.0,3,1,1,7619.0,Ciudad de México
335,16275.0,41.0,11.0,2,0,1,1951.0,Reynosa
336,12440.0,52.0,14.0,2,1,1,4095.0,Mérida
337,12993.0,58.0,13.0,2,1,0,5093.0,Cuernavaca
338,16106.0,40.0,10.0,1,1,0,3043.0,Colima
339,8646.0,22.0,12.0,7,1,0,2692.0,Mérida
340,8139.0,20.0,11.0,2,1,0,2058.0,Culiacán
341,12904.0,38.0,11.0,6,0,0,4201.0,Cancún
342,7826.0,30.0,14.0,3,1,1,2665.0,León
343,9074.0,38.0,6.0,3,1,0,2829.0,Veracruz
344,11543.0,20.0,13.0,1,1,1,630.0,Oaxaca
345,13825.0,48.0,10.0,7,0,0,1477.0,Mérida
346,8605.0,49.0,16.0,3,1,0,1815.0,Tepic
347,16470.0,56.0,8.0,4,0,1,4273.0,Aguascalientes
348,17667.0,60.0,9.0,6,1,0,5702.0,Durango
349,8579.0,51.0,15.0,4,1,0,1029.0,Zacatecas
350,5932.0,40.0,15.0,2,1,0,1574.0,Chilpancingo
351,32245.0,45.0,10.0,4,1,0,6617.0,Oaxaca
352,12325.0,50.0,9.0,2,0,0,2656.0,Culiacán
353,13209.0,36.0,14.0,6,1,0,3354.0,Cancún
354,10904.0,42.0,4.0,1,1,0,1664.0,Pachuca
355,7907.0,20.0,9.0,2,1,0,2360.0,Aguascalientes
356,23521.0,30.0,11.0,1,1,0,4865.0,Tuxtla Gutiérrez
357,20209.0,22.0,10.0,1,0,0,5624.0,Morelia
358,18014.0,49.0,15.0,3,1,1,5019.0,San Luis Potosí
359,8189.0,27.0,13.0,1,1,0,1571.0,Hermosillo
360,9421.0,40.0,12.0,2,0,1,377.0,Veracruz
361,8722.0,55.0,6.0,1,1,1,2459.0,Cuernavaca
362,10070.0,31.0,11.0,6,1,0,1932.0,Chihuahua
363,6593.0,20.0,14.0,3,1,0,1566.0,Toluca
364,4038.0,53.0,9.0,1,0,0,580.0,León
365,10491.0,44.0,9.0,4,1,1,1938.0,La Paz
366,11646.0,37.0,12.0,3,1,1,2703.0,Ciudad de México
367,5950.0,36.0,10.0,3,1,0,1894.0,Tuxtla Gutiérrez
368,20815.0,46.0,10.0,4,1,1,3144.0,Tepic
369,13314.0,39.0,8.0,3,1,0,1953.0,Chilpancingo
370,9339.0,48.0,13.0,1,0,0,1515.0,San Luis Potosí
371,11796.0,54.0,10.0,2,0,1,2023.0,Tlaxcala
372,40733.0,50.0,5.0,3,1,0,10562.0,Toluca
373,6450.0,31.0,4.0,1,0,1,1838.0,Veracruz
374,4961.0,37.0,11.0,3,0,0,1287.0,Veracruz
375,25132.0,22.0,12.0,2,1,1,5886.0,Saltillo
376,9778.0,54.0,8.0,2,0,1,2439.0,Ciudad de México
377,12390.0,48.0,7.0,1,1,0,2041.0,Tuxtla Gutiérrez
378,17030.0,41.0,6.0,6,1,1,2445.0,Saltillo
379,22336.0,29.0,7.0,4,0,0,3518.0,Aguascalientes
380,25649.0,44.0,11.0,4,0,1,3031.0,Chilpancingo
381,14266.0,20.0,9.0,6,1,1,3667.0,León
382,6353.0,44.0,1.0,1,1,1,1221.0,San Luis Potosí
383,7107.0,57.0,7.0,3,1,0,2257.0,Cuernavaca
384,23076.0,43.0,11.0,2,1,1,6312.0,Mérida
385,22238.0,52.0,7.0,1,1,0,4516.0,Saltillo
386,22335.0,53.0,13.0,6,1,0,5627.0,Hermosillo
387,17468.0,43.0,9.0,2,1,0,1935.0,Aguascalientes
388,28041.0,32.0,7.0,2,0,1,6690.0,Villahermosa
389,7760.0,45.0,17.0,3,1,1,687.0,Campeche
390,12258.0,49.0,10.0,2,1,1,3138.0,Colima
391,20039.0,55.0,11.0,3,1,1,4486.0,Pachuca
392,8352.0,30.0,9.0,3,1,0,3014.0,Tuxtla Gutiérrez
393,8604.0,51.0,9.0,6,0,0,3179.0,Cuernavaca
394,13921.0,56.0,11.0,5,1,0,3793.0,Chilpancingo
395,4926.0,37.0,13.0,3,1,0,1961.0,Saltillo
396,4816.0,31.0,10.0,3,1,0,1006.0,Villahermosa
397,15644.0,50.0,10.0,2,0,0,3815.0,Tepic
398,9665.0,37.0,6.0,2,1,0,2103.0,Villahermosa
399,40418.0,43.0,10.0,5,0,1,14477.0,Aguascalientes
400,29562.0,40.0,15.0,4,1,0,6802.0,Chilpancingo
401,4039.0,29.0,15.0,1,1,0,1354.0,Puebla
402,9159.0,32.0,14.0,3,0,0,2761.0,Mérida
403,17201.0,38.0,10.0,5,1,0,4282.0,Tuxtla Gutiérrez
404,5263.0,48.0,7.0,2,1,1,1691.0,Reynosa
405,4316.0,28.0,6.0,2,0,0,1416.0,Saltillo
406,29451.0,40.0,8.0,2,1,0,6593.0,Hermosillo
407,16206.0,46.0,13.0,11,1,0,648.0,Tijuana
408,12116.0,39.0,10.0,5,1,1,2537.0,Colima
409,5854.0,48.0,15.0,6,0,0,2259.0,Durango
410,25097.0,44.0,19.0,6,0,0,6341.0,Tlaxcala
411,6622.0,38.0,15.0,4,0,0,764.0,San Luis Potosí
412,13700.0,48.0,14.0,3,0,0,6519.0,Ciudad de México
413,12299.0,31.0,18.0,4,0,0,3465.0,Mérida
414,10320.0,56.0,11.0,7,0,1,2011.0,Morelia
415,47625.0,29.0,14.0,1,1,0,2979.0,Cancún
416,6179.0,35.0,11.0,5,1,0,1065.0,San Luis Potosí
417,8871.0,25.0,7.0,2,0,0,1992.0,La Paz
418,4062.0,45.0,15.0,2,1,1,940.0,Oaxaca
419,3694.0,46.0,11.0,2,0,0,687.0,Zacatecas
420,4105.0,41.0,12.0,3,1,0,813.0,Tlaxcala
421,21249.0,48.0,11.0,3,1,0,4501.0,Guadalajara
422,11819.0,78.0,11.0,4,1,0,2808.0,Puebla
423,4833.0,37.0,4.0,4,1,0,1834.0,Puebla
424,3871.0,39.0,15.0,1,1,0,662.0,Villahermosa
425,6840.0,33.0,10.0,1,1,1,459.0,León
426,7293.0,53.0,3.0,4,1,1,2857.0,Durango
427,15237.0,60.0,16.0,8,1,0,3218.0,Ciudad de México
