entidad,anio,pib_per_capita,inversion_pc,credito_pc,empleo_formal_pct,salario_real
Colima,2021,81774.3,12382.5,19107.6,35.45,321.65
Colima,2022,77333.4,14080.6,25058.1,35.13,325.5
Colima,2023,85649.4,12367.0,26273.5,35.1,339.54
Colima,2024,89356.1,20002.5,38984.7,37.27,343.38
Cuernavaca,2010,107732.8,22196.2,23563.8,46.91,319.7
Cuernavaca,2011,102289.9,31745.7,33438.3,46.24,333.12
Cuernavaca,2012,109422.4,18153.0,38442.9,47.83,319.12
Cuernavaca,2013,114356.2,21024.0,27948.4,48.69,342.35
Cuernavaca,2014,116922.9,24248.6,44650.5,49.72,337.13
Cuernavaca,2015,122249.7,22864.7,43540.7,50.31,364.39
Cuernavaca,2016,114449.1,22803.2,37638.1,50.44,349.6
Cuernavaca,2017,127779.2,21021.0,39018.1,50.65,374.71
Cuernavaca,2018,124590.3,22197.0,30014.3,52.99,367.55
Cuernavaca,2019,129891.9,23295.5,37494.7,50.96,378.92
Cuernavaca,2020,121011.4,20107.0,36143.0,48.71,379.81
Cuernavaca,2021,128477.2,29257.8,64873.4,51.4,390.34
Cuernavaca,2022,132803.2,28108.0,41675.5,51.9,410.15
Cuernavaca,2023,139075.3,26694.8,46026.0,51.29,406.89
Cuernavaca,2024,135087.4,28834.4,35845.6,53.64,410.38
Culiacán,2010,91719.5,14039.4,25636.5,33.99,299.01
Culiacán,2011,98650.9,17066.5,29501.5,35.3,307.77
Culiacán,2012,94153.9,18541.5,35586.6,33.82,314.04
Culiacán,2013,100879.8,14085.0,27734.4,33.84,325.88
Culiacán,2014,105023.3,23131.6,27974.7,35.34,330.02
Culiacán,2015,106425.9,19863.1,41477.0,33.81,343.1
Culiacán,2016,100293.1,17652.9,19960.4,36.13,332.96
Culiacán,2017,109743.1,20322.6,31616.5,36.81,366.85
Culiacán,2018,109032.1,24408.9,35343.4,36.78,345.2
Culiacán,2019,112122.2,17488.8,33457.6,37.63,367.14
Culiacán,2020,103439.1,24286.6,30894.6,39.54,348.24
Culiacán,2021,115810.6,28024.3,34153.3,39.81,370.9
Culiacán,2022,116224.6,17018.4,41948.8,37.58,370.36
Culiacán,2023,121235.1,17229.9,42288.6,40.55,379.26
Culiacán,2024,122334.2,26930.1,42878.2,40.3,391.29
Durango,2010,72056.9,16143.8,20341.8,28.01,270.44
Durango,2011,66944.5,10410.0,17060.4,28.58,282.58
Durango,2012,69380.5,13481.6,23627.5,28.59,265.5
Durango,2013,74301.3,19671.6,19421.9,32.05,287.58
Durango,2014,76261.4,16343.8,19797.8,29.72,297.87
Durango,2015,78057.3,17217.9,24537.6,29.06,306.08
Durango,2016,77210.1,13171.2,16657.4,30.19,295.75
Durango,2017,81252.9,18100.5,21793.3,29.45,313.3
Durango,2018,78988.5,10324.0,27409.3,31.11,310.6
Durango,2019,81126.9,14791.1,20628.8,31.21,313.26
Durango,2020,80351.5,18057.1,19892.0,33.57,328.84
Durango,2021,83465.6,16157.1,25641.4,34.26,325.46
Durango,2022,97315.5,16149.5,31986.1,31.86,351.37
Durango,2023,89569.5,17329.0,22423.8,33.36,345.0
Durango,2024,91252.2,21298.2,22732.7,33.72,362.23
Guadalajara,2010,81525.8,14457.1,23507.5,38.89,288.59
Guadalajara,2011,78607.2,12130.1,32783.3,40.17,292.79
Guadalajara,2012,82316.0,14661.4,40144.9,39.81,284.4
Guadalajara,2013,90558.1,19945.0,20268.5,40.4,324.4
Guadalajara,2014,91808.4,14857.2,41175.4,40.64,318.21
Guadalajara,2015,86310.1,15041.5,27668.7,43.24,320.7
Guadalajara,2016,84991.2,17293.9,20461.3,42.73,307.63
Guadalajara,2017,95417.0,22531.0,26278.8,42.24,334.66
Guadalajara,2018,94833.2,17925.0,31401.4,41.31,342.11
Guadalajara,2019,94612.9,15711.1,23148.4,43.87,331.72
Guadalajara,2020,91532.7,16963.0,33889.4,42.94,334.44
Guadalajara,2021,97724.2,16655.5,39497.7,45.92,356.88
Guadalajara,2022,107471.1,17530.7,19634.5,43.53,369.26
Guadalajara,2023,99484.0,17268.5,25821.9,45.42,360.56
Guadalajara,2024,105431.4,15834.0,24995.7,46.52,374.26
Hermosillo,2010,112563.9,21772.4,38272.5,36.73,326.86
Hermosillo,2011,100999.7,17467.1,31739.8,35.63,322.37
Hermosillo,2012,106483.3,21182.0,23696.7,36.95,327.8
Hermosillo,2013,116203.7,19486.5,24185.5,36.01,350.12
Hermosillo,2014,121006.2,22300.8,48664.6,36.73,346.66
Hermosillo,2015,116587.4,25058.9,23978.4,34.98,356.35
Hermosillo,2016,124964.5,33556.5,45486.8,38.51,364.88
Hermosillo,2017,117899.4,18232.5,43454.1,39.0,354.16
Hermosillo,2018,132100.9,23821.5,33097.8,40.23,386.08
Hermosillo,2019,128033.8,21620.2,37505.2,38.21,369.49
Hermosillo,2020,115677.1,23912.5,36812.7,40.12,372.33
Hermosillo,2021,127074.7,23703.0,53816.7,38.64,382.3
Hermosillo,2022,136187.8,24149.6,39652.0,42.0,402.79
Hermosillo,2023,147452.1,28957.4,25213.6,38.65,433.99
Hermosillo,2024,142633.4,21247.9,47909.8,41.11,428.12
La Paz,2010,247086.4,44086.2,73237.8,54.52,442.41
La Paz,2011,232472.4,46824.4,81525.3,53.9,441.88
La Paz,2012,245653.2,41234.7,110034.4,55.04,459.13
La Paz,2013,247866.2,54731.0,81226.5,55.45,480.34
La Paz,2014,259371.1,40589.9,87246.3,58.15,490.94
La Paz,2015,287030.1,61179.6,113113.3,55.11,498.06
La Paz,2016,258415.3,60420.7,47570.8,55.53,489.81
La Paz,2017,286296.7,56369.8,72556.3,56.69,515.68
La Paz,2018,295140.2,45985.9,125135.1,56.86,522.63
La Paz,2019,294922.0,74848.1,90485.9,58.02,534.75
La Paz,2020,263774.2,61155.9,107350.6,59.69,513.64
La Paz,2021,324594.8,49932.1,112763.0,59.03,558.53
La Paz,2022,306570.8,47599.5,96699.1,57.95,557.51
La Paz,2023,313990.2,64211.5,74270.6,59.13,572.81
La Paz,2024,309103.0,61588.7,87761.0,62.71,572.77
León,2010,65727.4,9616.2,23392.3,35.72,259.6
León,2011,71234.3,10836.5,21850.8,34.17,274.54
León,2012,67882.5,13172.5,23714.7,35.09,280.34
León,2013,70130.0,15577.7,24122.6,36.66,274.65
León,2014,67925.9,14313.6,29131.8,36.91,280.83
León,2015,75061.0,12483.4,20427.8,37.2,304.06
León,2016,77877.8,19086.4,20381.2,34.75,310.88
León,2017,77323.2,12878.9,23007.0,39.03,302.53
León,2018,75527.8,13943.7,19656.8,39.13,311.49
León,2019,81765.2,13170.5,26426.0,41.74,308.45
León,2020,73231.3,16938.8,23035.0,38.99,311.81
León,2021,84186.3,13007.5,29735.8,39.47,335.19
León,2022,84082.4,12200.2,23918.5,39.38,334.94
León,2023,83570.7,16352.2,24588.4,40.71,340.43
León,2024,86590.9,16551.3,19350.0,41.3,344.32
Monterrey,2010,75308.5,15128.9,20456.6,33.21,260.22
Monterrey,2011,77773.3,14274.7,20011.3,33.55,281.31
Monterrey,2012,73279.7,16682.4,28841.9,33.07,275.91
Monterrey,2013,75682.5,11927.9,30926.5,33.95,282.62
Monterrey,2014,83099.7,12561.0,41515.2,34.59,300.34
Monterrey,2015,79505.2,14231.8,23327.4,35.38,295.44
Monterrey,2016,85285.6,13937.7,23638.7,34.89,319.61
Monterrey,2017,86826.3,17763.9,32296.7,34.87,322.71
Monterrey,2018,84300.5,15574.9,29689.9,36.93,318.99
Monterrey,2019,86728.8,21047.0,23915.1,37.71,326.6
Monterrey,2020,86945.6,21713.4,40155.4,39.51,329.17
Monterrey,2021,98256.5,15734.7,29183.0,38.8,343.58
Monterrey,2022,97296.9,16927.9,34543.7,38.56,355.6
Monterrey,2023,101800.0,22840.1,41735.9,36.95,357.02
Monterrey,2024,104216.6,25409.4,38525.6,38.57,378.45
Morelia,2010,35548.1,7404.1,9016.2,28.9,197.91
Morelia,2011,34021.8,7444.0,9868.9,27.99,215.02
Morelia,2012,37009.4,7028.1,7963.8,28.26,213.12
Morelia,2013,36075.5,8613.9,8694.1,32.01,223.13
Morelia,2014,39907.3,6804.2,9512.0,30.07,222.05
Morelia,2015,39873.2,6746.0,13048.3,31.35,220.72
Morelia,2016,39367.6,8135.9,13052.6,31.69,226.76
Morelia,2017,40739.6,6359.9,11226.1,33.99,239.06
Morelia,2018,42575.1,9268.7,9879.3,33.9,246.64
Morelia,2019,42904.3,7546.7,12445.3,33.4,242.95
Morelia,2020,40261.2,7450.5,10741.7,35.34,247.86
Morelia,2021,48983.5,8513.5,16919.8,31.87,265.69
Morelia,2022,47875.1,8338.0,12417.8,35.7,253.23
Morelia,2023,45829.9,9071.4,9970.6,34.59,255.46
Morelia,2024,48794.0,11308.2,12890.2,34.7,274.11
Mérida,2010,112325.6,25399.2,31398.1,47.78,322.67
Mérida,2011,119530.7,19316.8,30458.5,49.1,347.78
Mérida,2012,121956.0,17953.3,33844.8,49.25,349.31
Mérida,2013,121712.6,27929.3,31541.2,49.21,351.53
Mérida,2014,122469.4,20607.6,41953.4,51.37,355.4
Mérida,2015,120352.8,22344.7,48292.1,52.71,358.6
Mérida,2016,129343.9,25569.8,49604.1,51.08,373.73
Mérida,2017,129516.9,31352.0,37251.2,50.87,377.24
Mérida,2018,131816.0,20826.5,21612.5,54.04,376.41
Mérida,2019,139986.2,23889.0,41371.8,52.28,384.66
Mérida,2020,132012.9,25503.8,61242.5,54.13,393.83
Mérida,2021,149984.1,20037.4,62414.0,56.38,409.48
Mérida,2022,147413.8,30942.7,56688.2,54.0,406.06
Mérida,2023,148631.3,23349.8,40480.9,56.29,433.13
Mérida,2024,157133.8,39335.9,56958.0,53.74,430.44
Oaxaca,2010,106811.0,20286.5,38053.1,38.94,318.81
Oaxaca,2011,114843.9,22444.9,36724.9,37.69,330.65
Oaxaca,2012,113925.3,19439.3,41112.2,39.77,342.43
Oaxaca,2013,124778.4,24948.3,30864.6,40.49,346.31
Oaxaca,2014,118490.1,18039.2,39822.5,41.1,350.53
Oaxaca,2015,126854.3,25363.1,43424.8,40.35,351.55
Oaxaca,2016,130054.5,29730.7,43212.3,38.73,365.27
Oaxaca,2017,135169.8,28401.7,38086.4,42.28,382.89
Oaxaca,2018,138126.9,28408.7,42257.1,40.37,394.35
Oaxaca,2019,132371.3,27671.8,58256.6,43.61,390.61
Oaxaca,2020,130998.5,21672.6,45299.3,43.9,398.29
Oaxaca,2021,150218.8,31367.3,33313.3,43.84,419.13
Oaxaca,2022,142520.4,27366.2,46219.3,42.61,410.75
Oaxaca,2023,145932.2,34730.7,43381.0,45.48,410.13
Oaxaca,2024,155743.6,30079.5,55833.8,46.86,430.88
Pachuca,2010,82439.8,13031.2,30292.8,43.7,289.68
Pachuca,2011,83917.7,16103.7,31322.0,41.27,296.14
Pachuca,2012,93775.2,16237.0,22726.5,43.19,306.39
Pachuca,2013,89937.1,21421.2,39217.7,42.51,326.6
Pachuca,2014,89779.7,17659.5,21133.4,43.25,325.75
Pachuca,2015,98155.9,20951.8,35451.4,44.22,331.94
Pachuca,2016,95108.6,19868.7,33712.7,43.85,334.05
Pachuca,2017,98092.1,20285.9,22174.3,45.25,338.64
Pachuca,2018,99222.5,20519.4,28249.4,47.14,344.99
Pachuca,2019,100701.6,18129.7,27759.8,46.82,350.67
Pachuca,2020,97323.4,15179.1,34049.7,45.84,349.28
Pachuca,2021,109796.8,21682.4,37532.5,47.13,365.57
Pachuca,2022,110743.7,18901.4,35755.1,46.2,368.92
Pachuca,2023,120191.1,18311.8,29021.4,50.05,387.7
Pachuca,2024,112130.7,20040.9,28671.2,47.29,385.36
Puebla,2010,125864.8,25810.9,30889.2,38.01,335.37
Puebla,2011,123477.8,20022.8,31630.6,38.5,352.69
Puebla,2012,133195.9,19227.0,34658.2,39.33,357.95
Puebla,2013,130448.8,26620.5,42517.3,39.42,348.93
Puebla,2014,139998.8,22336.0,75410.1,39.45,379.92
Puebla,2015,137316.7,19761.7,46906.1,38.53,374.02
Puebla,2016,155017.6,28578.3,44304.8,40.0,410.95
Puebla,2017,140822.0,27094.0,38481.9,40.53,391.64
Puebla,2018,153641.1,30283.8,49526.3,41.03,403.07
Puebla,2019,157249.9,26086.5,49870.0,40.74,416.87
Puebla,2020,144442.4,27221.7,50883.1,41.41,407.66
Puebla,2021,158446.8,32818.6,26691.7,42.65,424.54
Puebla,2022,160221.3,26808.6,54010.9,43.32,431.17
Puebla,2023,168869.5,35529.0,50732.9,41.75,446.13
Puebla,2024,170455.1,37665.1,31020.9,43.96,454.65
Querétaro,2010,233418.8,40420.5,89768.3,49.12,434.54
Querétaro,2011,229468.0,49340.1,102124.5,49.48,445.32
Querétaro,2012,238872.7,46971.3,78511.3,50.97,451.55
Querétaro,2013,247557.7,45452.1,56410.7,50.91,452.81
Querétaro,2014,255231.3,46659.6,52966.5,51.45,458.91
Querétaro,2015,263399.0,54177.7,84817.4,51.84,486.5
Querétaro,2016,258054.4,54040.6,68023.2,54.03,490.37
Querétaro,2017,271039.4,50620.9,76879.4,51.16,499.1
Querétaro,2018,269455.6,43050.0,112590.1,52.72,505.23
Querétaro,2019,278113.3,62203.1,90073.2,52.22,520.89
Querétaro,2020,275865.7,57908.8,72065.4,53.9,523.05
Querétaro,2021,302294.2,58869.3,158039.0,55.43,549.76
Querétaro,2022,306573.0,60110.5,81009.0,56.23,569.68
Querétaro,2023,310926.8,54803.9,68150.1,55.99,582.27
Querétaro,2024,288379.2,42849.9,105099.7,57.06,547.13
Reynosa,2010,46618.4,6245.3,14316.0,25.85,232.77
Reynosa,2011,48936.1,10219.1,14820.2,25.08,226.74
Reynosa,2012,47123.4,8584.3,8779.2,24.3,238.86
Reynosa,2013,49753.8,10015.6,9480.9,24.2,248.9
Reynosa,2014,48572.4,9764.8,11745.1,25.21,255.12
Reynosa,2015,50286.5,7703.0,18082.7,26.55,250.87
Reynosa,2016,53275.3,11293.3,9909.3,26.87,251.61
Reynosa,2017,51945.6,9964.6,21067.7,29.1,265.62
Reynosa,2018,50868.2,14361.0,10492.1,27.48,264.61
Reynosa,2019,51893.9,8786.1,13623.0,27.57,264.53
Reynosa,2020,53509.6,12066.6,24993.8,28.62,267.73
Reynosa,2021,57869.7,14640.8,17533.5,30.12,279.3
Reynosa,2022,57900.8,13429.7,15219.4,28.03,291.27
Reynosa,2023,57276.4,10426.4,14010.0,31.38,282.63
Reynosa,2024,57294.6,9081.7,12583.7,30.59,293.87
Saltillo,2010,74384.8,11999.0,28034.0,25.79,278.41
Saltillo,2011,81782.5,16233.5,25710.4,25.03,287.42
Saltillo,2012,72907.0,14010.1,20132.4,26.21,301.26
Saltillo,2013,78682.4,14991.4,20934.1,27.15,295.77
Saltillo,2014,84778.4,17233.1,26662.3,27.68,304.05
Saltillo,2015,85771.3,19737.4,27290.2,28.51,320.04
Saltillo,2016,79528.8,17544.6,17761.0,29.43,305.06
Saltillo,2017,86414.2,15820.1,22393.1,28.99,329.39
Saltillo,2018,81918.2,13926.2,32274.0,30.9,328.04
Saltillo,2019,92368.4,16079.1,27105.5,30.56,344.23
Saltillo,2020,87640.6,12934.2,25670.5,29.69,329.11
Saltillo,2021,98068.6,20533.5,27145.3,30.3,351.24
Saltillo,2022,97913.0,18269.7,30760.2,31.84,352.45
Saltillo,2023,101945.0,17494.8,32718.6,30.33,348.1
Saltillo,2024,99520.0,20579.5,37420.5,32.4,360.58
San Luis Potosí,2010,84196.3,17810.7,32049.9,38.08,287.85
San Luis Potosí,2011,81574.1,15604.2,32438.3,39.56,286.34
San Luis Potosí,2012,84754.5,14776.0,26521.4,38.95,300.76
San Luis Potosí,2013,86763.8,14695.4,32666.8,41.3,298.58
San Luis Potosí,2014,88440.0,15893.0,26202.8,39.89,306.96
San Luis Potosí,2015,85330.2,20256.4,21136.8,39.19,309.14
San Luis Potosí,2016,96791.1,20869.2,20451.5,40.01,333.82
San Luis Potosí,2017,96246.9,12669.5,31018.0,41.99,331.47
San Luis Potosí,2018,91424.6,16277.9,24375.7,41.79,332.84
San Luis Potosí,2019,104838.8,17203.0,31050.2,40.52,355.58
San Luis Potosí,2020,90023.2,20374.0,26102.5,42.03,337.41
San Luis Potosí,2021,108020.5,25021.5,37719.5,43.25,361.48
San Luis Potosí,2022,97852.1,19813.7,36575.7,42.59,351.02
San Luis Potosí,2023,102978.5,21590.9,37305.2,46.7,358.66
San Luis Potosí,2024,112481.8,16530.4,34778.6,43.69,363.79
Tepic,2010,132074.7,23854.6,55256.6,38.06,345.21
Tepic,2011,128350.2,31257.1,35434.4,36.28,358.01
Tepic,2012,143391.6,24064.8,40763.9,39.04,366.38
Tepic,2013,134835.6,24599.3,40311.0,40.4,369.04
Tepic,2014,155058.4,32419.5,49915.2,39.85,390.84
Tepic,2015,154664.5,27981.5,38061.0,40.25,396.65
Tepic,2016,151176.0,21269.9,43270.4,39.87,391.1
Tepic,2017,154680.9,24626.5,51458.2,43.39,406.07
Tepic,2018,152360.4,24609.4,54088.3,42.08,408.54
Tepic,2019,168274.9,25466.1,38848.0,43.54,435.19
Tepic,2020,150245.2,21414.6,57854.8,42.0,415.44
Tepic,2021,172635.0,28841.1,57355.5,41.77,428.63
Tepic,2022,170364.3,25319.5,38349.3,44.17,448.69
Tepic,2023,171325.6,30548.8,61416.5,44.24,452.34
Tepic,2024,170792.1,38202.2,53438.1,43.47,453.47
Tijuana,2010,173358.9,30360.5,44384.7,46.89,395.01
Tijuana,2011,174860.5,33038.8,42071.6,45.71,396.22
Tijuana,2012,185762.7,36215.2,63512.7,46.22,404.0
Tijuana,2013,189992.9,44867.1,61301.0,45.47,422.23
Tijuana,2014,201042.8,45718.2,78719.9,48.61,422.13
Tijuana,2015,190468.6,38226.7,52855.6,48.24,428.77
Tijuana,2016,193106.0,31192.9,51208.2,47.65,433.48
Tijuana,2017,196176.7,27630.1,91532.4,49.08,447.41
Tijuana,2018,212726.2,47734.1,40807.7,49.1,457.1
Tijuana,2019,209822.1,42466.3,36160.3,50.61,465.21
Tijuana,2020,198392.7,37716.1,81671.1,50.69,451.75
Tijuana,2021,228744.2,37436.3,85471.9,49.48,490.77
Tijuana,2022,224747.1,43281.4,78060.9,50.67,492.79
Tijuana,2023,226618.4,61608.8,68628.1,52.16,496.02
Tijuana,2024,236071.5,49773.4,94146.5,51.48,513.94
Tlaxcala,2010,69279.5,13976.8,17196.3,19.58,270.8
Tlaxcala,2011,68438.0,18342.5,18485.1,20.91,271.55
Tlaxcala,2012,72104.5,12597.4,21899.8,22.2,277.89
Tlaxcala,2013,69069.8,11038.4,24089.9,18.51,281.65
Tlaxcala,2014,77462.2,12975.7,27019.4,21.15,304.15
Tlaxcala,2015,73536.4,16509.8,26100.9,22.45,294.45
Tlaxcala,2016,76555.0,11238.8,21622.8,23.17,295.01
Tlaxcala,2017,79309.1,11855.0,22289.5,22.3,311.49
Tlaxcala,2018,82361.7,12843.2,22687.0,23.5,306.33
Tlaxcala,2019,82031.9,15344.0,27816.9,23.35,324.91
Tlaxcala,2020,75688.4,16905.3,26318.5,23.57,314.66
Tlaxcala,2021,90052.5,16243.7,26043.9,23.98,342.89
Tlaxcala,2022,87128.3,15184.5,29584.1,24.11,336.07
Tlaxcala,2023,87527.2,18463.6,28224.9,22.51,340.31
Tlaxcala,2024,91842.2,17734.9,29555.6,25.22,352.73
Toluca,2010,124202.7,22892.7,36966.1,43.82,336.65
Toluca,2011,124759.8,25074.8,28638.0,43.29,352.29
Toluca,2012,125181.2,24218.5,40007.9,44.68,363.31
Toluca,2013,134205.8,22010.1,47527.3,43.32,365.84
Toluca,2014,133112.6,25123.4,66102.1,46.04,372.4
Toluca,2015,138951.2,27328.3,53054.9,48.55,376.05
Toluca,2016,152398.3,32679.1,36833.8,46.01,405.56
Toluca,2017,138146.1,29871.5,63284.3,46.73,376.68
Toluca,2018,141376.2,26593.5,39534.5,47.2,402.93
Toluca,2019,148980.7,28078.7,45048.0,47.04,396.44
Toluca,2020,141038.1,34202.5,37435.4,48.13,398.36
Toluca,2021,160307.0,25686.2,65740.1,47.97,426.3
Toluca,2022,144346.5,26004.0,50245.0,49.93,420.05
Toluca,2023,154091.4,26319.7,64002.1,47.71,429.02
Toluca,2024,162571.1,34636.7,40159.1,48.75,456.79
Tuxtla Gutiérrez,2010,103094.9,24323.6,32470.3,41.83,322.33
Tuxtla Gutiérrez,2011,108331.4,16332.5,41092.1,40.51,321.11
Tuxtla Gutiérrez,2012,106490.6,23007.8,35906.7,43.96,344.26
Tuxtla Gutiérrez,2013,114317.3,19439.1,28412.2,43.74,338.51
Tuxtla Gutiérrez,2014,110510.1,17168.9,35179.0,41.02,334.83
Tuxtla Gutiérrez,2015,120351.5,14874.5,29765.0,44.18,354.97
Tuxtla Gutiérrez,2016,126907.9,22582.3,32359.1,43.15,359.54
Tuxtla Gutiérrez,2017,128623.1,27906.2,38498.6,44.32,374.44
Tuxtla Gutiérrez,2018,122145.0,25839.1,41642.9,44.93,380.07
Tuxtla Gutiérrez,2019,121529.7,26336.5,38842.9,45.13,378.45
Tuxtla Gutiérrez,2020,120519.8,27275.1,34028.3,45.01,366.47
